nombre,edad,calle,ciudad,provincia,cp,longitud,latitud
Amaro Gómez Berrocal,45,Alameda de Clementina Luque 370,Palencia,Granada,07784,17.978258,64.777519
Consuelo Lerma Camino,38,Acceso Genoveva Lobato 3,Ciudad,Lugo,31271,-54.709984,85.6336715
Francisco Javier Palacio-Carbó,43,Rambla de Dora Ángel 7,Sevilla,Valladolid,09521,-68.691636,-30.530751
Anastasio Paz Rocamora,36,Pasadizo Bruno Lucena 93 Puerta 3 ,Alicante,Navarra,03157,51.238556,-59.106989
Diego Riera Priego,73,Urbanización Marisol Lluch 79 Piso 5 ,Ciudad,Guipúzcoa,14949,54.808501,89.799643
Baudelio Rivera Bonet,32,Acceso Isa Arellano 5,Lugo,Álava,27203,-104.569089,78.9074085
Jorge Salamanca Marquez,64,Callejón de Jordi Lara 61 Apt. 57 ,Sevilla,Vizcaya,23563,-2.987571,-68.756491
David Palacios-Sierra,77,Pasadizo de Adolfo Franch 4,Almería,Castellón,36475,-150.376197,-23.190858
Encarnita Vaquero Torrijos,57,Callejón Gerardo Cadenas 81 Puerta 0 ,Palencia,La Coruña,14412,155.089821,46.516346
Alonso Avilés-Echevarría,50,Camino Cesar Giralt 9,Vizcaya,Pontevedra,18904,25.368982,-71.103180
Nilda Garay Pozo,19,Rambla de Aureliano Palomares 39,Córdoba,Segovia,46580,51.905930,1.480758
Onofre Falcó Gómez,21,Cañada Joan Mariño 40,Burgos,Salamanca,29744,-131.444073,44.355953
Artemio Asenjo,67,Vial Amada Arnau 61 Piso 3 ,Cantabria,Ceuta,41728,-148.733607,38.9523005
Fabricio Escamilla Angulo,67,Vial Severiano Rocamora 554,Salamanca,Segovia,42940,-143.437464,-28.216027
Hortensia de Mariño,63,Plaza de Eduardo Benito 4 Apt. 81 ,Las Palmas,Salamanca,01695,-90.439902,12.906184
David Elorza Barriga,23,Alameda de Áurea Mármol 2,Cuenca,La Rioja,50003,117.621326,23.7597935
Etelvina Lara Pedro,29,Pasaje de Juan Luis Chico 71 Puerta 6 ,Barcelona,Huelva,22159,111.804444,-69.6025045
Lupe Regina Botella Andres,29,Ronda Elías Alfonso 7,Málaga,Jaén,10347,-96.591732,-11.440954
Tania Seco Arnal,37,Via de Petrona Lledó 4 Apt. 19 ,Barcelona,Barcelona,30561,-137.331010,34.764803
Mariana Paredes Abellán,41,Plaza de Herminia López 53 Puerta 7 ,Castellón,Barcelona,08970,-29.407711,80.3058145
Conrado Gracia Arévalo,30,Cuesta Evaristo Marquez 97,Pontevedra,Huesca,08854,-10.445324,58.7433995
Iris Manuel Girón,76,Alameda Narciso Mateu 97,Vizcaya,Álava,45548,-71.343102,-82.2867165
Eufemia Múgica Rueda,75,Urbanización Chus Jordán 97 Piso 8 ,Guadalajara,Badajoz,44364,10.421134,-59.818050
Eliseo Rodríguez Carreras,61,Paseo de Amor Mayoral 33,La Coruña,Cuenca,12019,-82.691812,43.755752
Modesta del Mascaró,36,Callejón Rufino Prado 44 Piso 8 ,Palencia,Girona,41402,-39.827591,-35.709341
Candela Zabala,45,Avenida de Luis Miguel Iborra 3,Guadalajara,Badajoz,29658,-1.518257,39.9250395
Fernanda Bello Fiol,65,Paseo Fabián Sureda 69 Puerta 5 ,Albacete,Las Palmas,06377,168.053582,87.7786155
Serafina Pozuelo Cardona,58,Paseo Concepción Lobato 424 Apt. 22 ,Albacete,Toledo,25451,122.444764,84.145021
Azahar Alegria-Campo,67,Paseo de Lázaro Solís 5 Piso 8 ,Lugo,Barcelona,31939,122.863384,1.4810025
Fabricio del Heredia,21,Avenida José Llabrés 97,Salamanca,Sevilla,01271,-21.768887,-23.9586965
Prudencia Barrio-Berenguer,26,C. Eutimio Martínez 27 Apt. 63 ,Santa Cruz de Tenerife,Álava,28968,37.034866,38.474702
Victoriano Manso Anglada,24,Via América Jordá 15,Cantabria,Valencia,20378,56.703700,31.1858645
Ale Chacón Requena,76,Calle de Aitana Bello 3 Puerta 2 ,Palencia,Granada,22203,-102.793223,45.5620365
Elodia Carbonell-Ros,34,Pasaje de Reyna Castro 685 Puerta 4 ,Lleida,Palencia,07489,11.491208,-52.9247615
Víctor Iniesta-Alemany,37,Avenida Tamara Ledesma 517 Apt. 95 ,Ávila,Zaragoza,49056,-166.556222,38.257188
Fortunato Moliner Vargas,75,Acceso Nilda Ramírez 6,Segovia,Girona,34294,-144.636396,-31.100863
Zoraida Nidia Vázquez Toledo,54,Calle de Ainoa Marin 5,Cantabria,León,44124,118.870135,-3.0080395
Rolando Delgado Canals,29,Plaza Manuela Feijoo 3 Piso 5 ,Segovia,Huesca,02681,124.195839,-67.7482775
Jose Ávila Benavides,29,Acceso Moreno Amigó 14,Cádiz,La Rioja,18671,138.333992,-38.0514185
Narcisa Lopez-Hoyos,71,C. de Inés Montaña 2,Segovia,Zamora,26328,176.931162,62.294538
Antonio de Gomis,63,Avenida de Jose Francisco Lumbreras 74,Guipúzcoa,La Coruña,33736,34.414958,-73.563034
Ileana Lopez Andres,38,Ronda de Wilfredo Alcolea 28,Ourense,Almería,49518,128.711387,20.8374515
Narciso Gil Sebastián,27,Plaza de Mariana Segovia 4 Apt. 18 ,Zamora,Guipúzcoa,43710,-94.136129,-63.310694
Tamara Landa Pazos,52,Cuesta de Macarena Pedrero 331,Vizcaya,Valladolid,13926,157.060366,11.2855745
Fidel Manzano,72,Vial de Jerónimo Peláez 87,Sevilla,La Coruña,06097,-20.730988,-88.8249915
Oriana Bernarda Castrillo Rey,75,Plaza de Estrella Sobrino 1,Soria,Lleida,42798,-145.588135,75.155485
Jovita Lucena,55,C. Quirino Cobos 8,Lugo,Badajoz,24407,-65.720572,-88.5500205
Ramona Cal-Reig,26,Vial Ana Carrillo 98,Córdoba,Navarra,21140,68.702506,-83.4839875
Amaro Iglesia,27,Avenida Palmira Vázquez 6,La Rioja,Guipúzcoa,37358,-163.536636,-66.955671
Irma Pujol Téllez,59,Paseo de Nydia Pareja 2 Puerta 9 ,Almería,Valladolid,09314,-165.868688,-8.521106
Teobaldo Arroyo Guitart,66,Pasadizo de Martín Bonilla 68 Piso 1 ,Segovia,Jaén,01960,8.942292,-25.730004
Íngrid Vilalta Lloret,61,Cuesta Rosalina Roma 70 Puerta 0 ,Huelva,Toledo,05213,-135.752470,-87.620131
Begoña Blanch Buendía,64,Calle de Marcelino Laguna 6 Piso 6 ,Madrid,Madrid,49496,-46.492634,-81.833245
Angelita Hoz Angulo,55,Via de Alex Olivera 8,Toledo,Ourense,24203,-79.735536,-3.964913
Paca de Pera,39,Cuesta Armando Hidalgo 49,Pontevedra,Alicante,12062,-64.310629,45.891645
Emma Zurita Andres,69,Plaza Abilio Sarmiento 946,Ourense,Lleida,26679,128.606391,79.3703025
